time,userID,action,objName
82,1,MOVE,DataSlip_1
83,3,MOVE,Note_0
84,1,SHRINK,DataSlip_1
85,3,ENLARGE,Note_0
85,1,NORMAL,DataSlip_1
86,1,ENLARGE,DataSlip_1
86,3,MOVE,Note_0
88,1,SHRINK,DataSlip_1
88,1,NORMAL,DataSlip_1
89,3,MOVE,Note_0
97,3,MOVE,DataSlip_2
99,3,ENLARGE,DataSlip_2
102,3,MOVE,DataSlip_2
103,3,MOVE,DataSlip_2
108,1,ENLARGE,DataSlip_1
112,1,MOVE,DataSlip_1
120,3,MOVE,DataSlip_2
130,1,SHRINK,DataSlip_1
131,2,SHRINK,DataSlip_2
132,1,MOVE,DataSlip_1
132,2,MOVE,DataSlip_2
134,1,MOVE,DataSlip_12
135,1,ENLARGE,DataSlip_12
138,3,MOVE,DataSlip_19
139,1,MOVE,DataSlip_12
139,3,MOVE,DataSlip_2
163,1,SHRINK,DataSlip_12
164,3,MOVE,DataSlip_19
165,1,MOVE,DataSlip_12
165,3,ENLARGE,DataSlip_19
166,3,MOVE,DataSlip_19
176,2,MOVE,DataSlip_19
177,2,SHRINK,DataSlip_19
179,1,SHRINK,DataSlip_17
181,3,MOVE,DataSlip_19
182,1,ENLARGE,DataSlip_17
184,1,MOVE,DataSlip_17
196,2,MOVE,DataSlip_17
198,2,SHRINK,DataSlip_17
199,2,MOVE,DataSlip_17
199,2,MOVE,DataSlip_17
200,2,MOVE,DataSlip_17
201,2,ENLARGE,DataSlip_4
203,2,MOVE,DataSlip_4
225,2,SHRINK,DataSlip_4
226,2,MOVE,DataSlip_4
231,2,MOVE,DataSlip_3
231,3,MOVE,DataSlip_18
233,3,ENLARGE,DataSlip_18
235,3,MOVE,DataSlip_18
245,2,SHRINK,DataSlip_18
247,2,MOVE,DataSlip_18
249,1,ENLARGE,DataSlip_3
251,1,MOVE,DataSlip_3
259,2,SHRINK,DataSlip_3
260,2,MOVE,DataSlip_3
262,1,MOVE,DataSlip_20
263,1,MOVE,DataSlip_20
264,1,MOVE,DataSlip_5
265,1,MOVE,DataSlip_11
266,1,MOVE,DataSlip_10
267,1,MOVE,DataSlip_13
269,1,MOVE,DataSlip_8
270,3,MOVE,DataSlip_20
271,3,ENLARGE,DataSlip_20
273,3,MOVE,DataSlip_20
288,2,SHRINK,DataSlip_20
290,2,MOVE,DataSlip_20
292,2,ENLARGE,DataSlip_5
294,2,MOVE,DataSlip_5
310,1,SHRINK,DataSlip_5
312,1,MOVE,DataSlip_5
313,1,MOVE,DataSlip_11
313,1,MOVE,DataSlip_11
316,1,ENLARGE,DataSlip_11
318,1,MOVE,DataSlip_11
328,2,SHRINK,DataSlip_11
330,2,MOVE,DataSlip_11
331,1,MOVE,DataSlip_5
333,1,MOVE,DataSlip_8
333,3,MOVE,DataSlip_16
335,1,MOVE,DataSlip_15
336,3,MOVE,DataSlip_9
336,1,MOVE,DataSlip_7
336,3,MOVE,DataSlip_11
338,1,MOVE,DataSlip_14
339,1,MOVE,DataSlip_10
339,2,ENLARGE,DataSlip_15
341,2,MOVE,DataSlip_15
356,2,SHRINK,DataSlip_15
358,2,MOVE,DataSlip_15
358,3,ENLARGE,DataSlip_9
360,3,MOVE,DataSlip_9
371,2,SHRINK,DataSlip_9
372,2,MOVE,DataSlip_9
373,1,ENLARGE,DataSlip_10
374,1,NORMAL,DataSlip_10
374,1,NORMAL,DataSlip_10
376,1,MOVE,DataSlip_10
390,2,SHRINK,DataSlip_10
391,2,MOVE,DataSlip_10
392,2,ENLARGE,DataSlip_8
393,2,MOVE,DataSlip_8
411,2,SHRINK,DataSlip_8
413,2,MOVE,DataSlip_8
414,3,ENLARGE,DataSlip_16
416,3,MOVE,DataSlip_16
428,2,MOVE,DataSlip_16
430,2,SHRINK,DataSlip_16
432,2,MOVE,DataSlip_16
434,1,MOVE,DataSlip_6
436,1,MOVE,DataSlip_13
438,2,ENLARGE,DataSlip_6
454,2,SHRINK,DataSlip_6
455,2,MOVE,DataSlip_6
456,1,ENLARGE,DataSlip_13
458,1,MOVE,DataSlip_13
464,2,MOVE,DataSlip_13
468,2,MOVE,DataSlip_13
470,2,SHRINK,DataSlip_13
472,2,MOVE,DataSlip_13
473,1,MOVE,DataSlip_7
475,1,ENLARGE,DataSlip_7
487,1,MOVE,DataSlip_7
489,1,ENLARGE,DataSlip_16
493,1,MOVE,DataSlip_16
495,1,SHRINK,DataSlip_16
498,1,SHRINK,DataSlip_7
503,2,MOVE,DataSlip_14
504,2,ENLARGE,DataSlip_14
504,-1,SAVE,null
505,-1,INIT_STAGE2,
505,1,INTERACTION_TIME,61857 of 166653
505,1,SLIP_INTERACTION,49 of 124
505,2,INTERACTION_TIME,59951 of 166653
505,2,SLIP_INTERACTION,51 of 124
505,3,INTERACTION_TIME,44845 of 166653
505,3,SLIP_INTERACTION,24 of 124
510,1,MOVE,InformationDialog
511,1,MOVE,InformationDialog
512,1,MOVE,InformationDialog
521,1,MOVE,InformationDialog
522,1,MOVE,InformationDialog
535,3,MOVE,DataSlip_9
538,1,SHRINK,DataSlip_14
552,3,CREATE_OBJECT,StorageArea_2
558,-1,ENTER_GROUP_NAME,for name is: for
559,1,CREATE_OBJECT,StorageArea_3
571,-1,ENTER_GROUP_NAME,against name is: against
573,1,MOVE,against
575,1,ADD_OBJ_TO_GROUP,DataSlip_14 -> for
575,1,SHRINK,DataSlip_14
575,1,MOVE,DataSlip_14
578,2,ADD_OBJ_TO_GROUP,DataSlip_13 -> for
578,2,SHRINK,DataSlip_13
578,2,MOVE,DataSlip_13
579,3,ADD_OBJ_TO_GROUP,DataSlip_6 -> for
579,3,SHRINK,DataSlip_6
579,3,MOVE,DataSlip_6
581,3,MOVE,for
581,1,ADD_OBJ_TO_GROUP,DataSlip_9 -> against
581,1,SHRINK,DataSlip_9
581,1,MOVE,DataSlip_9
584,1,ADD_OBJ_TO_GROUP,DataSlip_15 -> against
584,1,SHRINK,DataSlip_15
584,1,MOVE,DataSlip_15
590,3,MOVE,DataSlip_2
592,3,ENLARGE,DataSlip_2
594,3,MOVE,DataSlip_2
595,3,MOVE,DataSlip_2
596,3,SHRINK,DataSlip_2
598,3,ADD_OBJ_TO_GROUP,DataSlip_2 -> for
598,3,SHRINK,DataSlip_2
598,3,MOVE,DataSlip_2
600,2,MOVE,DataSlip_16
601,1,MOVE,DataSlip_1
603,1,NORMAL,DataSlip_1
607,1,SHRINK,DataSlip_1
611,3,MOVE,DataSlip_19
614,1,ADD_OBJ_TO_GROUP,DataSlip_1 -> against
614,1,SHRINK,DataSlip_1
614,1,MOVE,DataSlip_1
617,3,MOVE,for
618,3,MOVE,for
621,3,ENLARGE,DataSlip_19
622,3,MOVE,DataSlip_19
622,1,MOVE,against
623,3,MOVE,DataSlip_19
624,1,MOVE,against
626,1,MOVE,against
631,2,SHRINK,DataSlip_19
634,2,MOVE,DataSlip_19
635,2,MOVE,for
636,2,MOVE,DataSlip_19
645,2,ADD_OBJ_TO_GROUP,DataSlip_16 -> against
645,2,SHRINK,DataSlip_16
645,2,MOVE,DataSlip_16
647,1,NORMAL,DataSlip_10
647,1,ROTATE,DataSlip_10
651,3,MOVE,DataSlip_3
651,1,ADD_OBJ_TO_GROUP,DataSlip_10 -> against
651,1,SHRINK,DataSlip_10
651,1,MOVE,DataSlip_10
652,3,NORMAL,DataSlip_3
656,3,SHRINK,DataSlip_3
658,3,ADD_OBJ_TO_GROUP,DataSlip_3 -> against
658,3,SHRINK,DataSlip_3
658,3,MOVE,DataSlip_3
661,1,ADD_OBJ_TO_GROUP,DataSlip_8 -> against
661,1,SHRINK,DataSlip_8
661,1,MOVE,DataSlip_8
