time,userID,action,objName
32,3,ENLARGE,DataSlip_13
36,3,MOVE,DataSlip_13
37,3,MOVE,DataSlip_13
38,3,MOVE,DataSlip_13
51,3,MOVE,DataSlip_13
52,3,SHRINK,DataSlip_13
54,3,MOVE,DataSlip_13
54,2,MOVE,DataSlip_22
55,3,MOVE,DataSlip_13
56,2,ENLARGE,DataSlip_22
57,2,MOVE,DataSlip_22
65,3,SHRINK,DataSlip_22
67,3,MOVE,DataSlip_22
69,2,MOVE,DataSlip_19
70,2,ENLARGE,DataSlip_19
72,2,MOVE,DataSlip_19
79,2,SHRINK,DataSlip_19
81,2,MOVE,DataSlip_19
82,3,MOVE,DataSlip_19
84,2,MOVE,DataSlip_8
86,2,ENLARGE,DataSlip_8
88,2,MOVE,DataSlip_8
94,3,SHRINK,DataSlip_8
97,3,MOVE,DataSlip_8
100,2,MOVE,DataSlip_14
102,2,MOVE,DataSlip_14
103,2,ENLARGE,DataSlip_14
104,2,MOVE,DataSlip_14
114,3,SHRINK,DataSlip_14
115,3,MOVE,DataSlip_14
117,3,ENLARGE,DataSlip_11
118,3,MOVE,DataSlip_11
119,3,MOVE,DataSlip_11
120,3,MOVE,DataSlip_11
128,3,SHRINK,DataSlip_11
130,3,MOVE,DataSlip_11
131,3,MOVE,DataSlip_11
133,2,MOVE,DataSlip_16
134,2,ENLARGE,DataSlip_16
135,2,MOVE,DataSlip_16
143,3,SHRINK,DataSlip_16
146,3,MOVE,DataSlip_16
148,3,MOVE,DataSlip_16
149,3,MOVE,DataSlip_5
151,2,MOVE,DataSlip_9
151,3,ENLARGE,DataSlip_5
152,3,MOVE,DataSlip_5
153,3,MOVE,DataSlip_5
161,3,SHRINK,DataSlip_5
163,2,MOVE,DataSlip_9
164,2,ENLARGE,DataSlip_9
165,3,MOVE,DataSlip_5
166,2,MOVE,DataSlip_9
177,2,SHRINK,DataSlip_9
179,2,MOVE,DataSlip_9
181,3,MOVE,DataSlip_5
182,3,MOVE,DataSlip_12
183,3,ENLARGE,DataSlip_12
184,3,MOVE,DataSlip_12
185,3,MOVE,DataSlip_12
186,3,MOVE,DataSlip_12
186,3,MOVE,DataSlip_12
196,3,SHRINK,DataSlip_12
197,3,MOVE,DataSlip_12
200,2,MOVE,DataSlip_12
201,3,MOVE,DataSlip_7
