time,userID,action,objName
80,1,ENLARGE,DataSlip_5
96,1,SHRINK,DataSlip_5
98,1,MOVE,DataSlip_5
98,3,SHRINK,DataSlip_19
99,3,ENLARGE,DataSlip_19
100,3,MOVE,DataSlip_19
121,3,SHRINK,DataSlip_19
122,3,MOVE,DataSlip_19
123,2,MOVE,DataSlip_14
123,3,MOVE,DataSlip_19
126,3,ENLARGE,DataSlip_20
128,3,MOVE,DataSlip_20
136,3,SHRINK,DataSlip_20
137,3,MOVE,DataSlip_20
138,2,MOVE,DataSlip_14
139,2,ENLARGE,DataSlip_14
140,2,MOVE,DataSlip_14
145,2,SHRINK,DataSlip_14
147,2,MOVE,DataSlip_14
148,1,MOVE,DataSlip_12
149,1,ENLARGE,DataSlip_12
149,1,NORMAL,DataSlip_12
150,1,ROTATE,DataSlip_12
153,1,NORMAL,DataSlip_12
154,1,ROTATE,DataSlip_12
158,1,NORMAL,DataSlip_12
159,1,ROTATE,DataSlip_12
165,1,SHRINK,DataSlip_12
167,1,MOVE,DataSlip_12
168,1,MOVE,DataSlip_12
168,3,ENLARGE,DataSlip_11
169,1,MOVE,DataSlip_5
170,3,MOVE,DataSlip_11
171,1,MOVE,DataSlip_12
175,3,SHRINK,DataSlip_11
176,3,MOVE,DataSlip_11
178,1,MOVE,DataSlip_13
179,1,MOVE,DataSlip_21
179,1,MOVE,DataSlip_4
182,2,MOVE,DataSlip_4
183,2,ENLARGE,DataSlip_4
184,2,MOVE,DataSlip_4
196,2,SHRINK,DataSlip_4
197,2,MOVE,DataSlip_4
198,1,ENLARGE,DataSlip_13
198,2,MOVE,DataSlip_4
208,1,SHRINK,DataSlip_13
210,1,MOVE,DataSlip_13
212,3,MOVE,DataSlip_26
212,2,MOVE,DataSlip_21
213,1,MOVE,DataSlip_4
213,3,ENLARGE,DataSlip_26
213,2,MOVE,DataSlip_21
215,3,MOVE,DataSlip_26
216,3,MOVE,DataSlip_26
216,1,MOVE,DataSlip_13
217,1,MOVE,DataSlip_4
219,3,SHRINK,DataSlip_26
221,3,MOVE,DataSlip_26
222,2,ENLARGE,DataSlip_21
223,2,MOVE,DataSlip_21
231,2,SHRINK,DataSlip_21
233,2,MOVE,DataSlip_21
235,1,MOVE,DataSlip_6
235,2,MOVE,DataSlip_21
235,3,MOVE,DataSlip_8
237,3,ENLARGE,DataSlip_8
238,3,MOVE,DataSlip_8
238,3,MOVE,DataSlip_8
243,3,SHRINK,DataSlip_8
246,3,MOVE,DataSlip_8
247,1,ENLARGE,DataSlip_6
255,1,MOVE,DataSlip_6
263,1,SHRINK,DataSlip_6
265,3,MOVE,DataSlip_19
266,1,MOVE,DataSlip_6
266,3,ENLARGE,DataSlip_19
267,3,MOVE,DataSlip_19
269,3,SHRINK,DataSlip_19
270,3,MOVE,DataSlip_19
270,3,MOVE,DataSlip_19
272,3,MOVE,DataSlip_10
272,2,MOVE,DataSlip_7
273,3,ENLARGE,DataSlip_10
274,3,MOVE,DataSlip_10
275,3,MOVE,DataSlip_10
282,3,SHRINK,DataSlip_10
285,3,MOVE,DataSlip_10
286,1,MOVE,DataSlip_16
286,3,MOVE,DataSlip_20
287,1,MOVE,DataSlip_9
288,2,ENLARGE,DataSlip_7
289,1,MOVE,Note_0
290,2,MOVE,DataSlip_7
296,2,SHRINK,DataSlip_7
299,2,MOVE,DataSlip_7
299,1,ENLARGE,DataSlip_16
303,1,MOVE,DataSlip_16
307,1,SHRINK,DataSlip_16
310,3,ENLARGE,DataSlip_9
310,1,MOVE,DataSlip_16
311,3,MOVE,DataSlip_9
313,1,MOVE,DataSlip_16
318,3,SHRINK,DataSlip_9
319,3,MOVE,DataSlip_9
324,1,MOVE,DataSlip_18
325,2,MOVE,DataSlip_25
326,1,ENLARGE,DataSlip_18
326,2,MOVE,DataSlip_25
327,2,MOVE,DataSlip_25
327,1,MOVE,DataSlip_18
333,1,SHRINK,DataSlip_18
335,1,MOVE,DataSlip_18
337,3,MOVE,DataSlip_2
338,2,MOVE,DataSlip_25
339,3,MOVE,DataSlip_2
340,3,ENLARGE,DataSlip_2
341,2,NORMAL,DataSlip_25
341,1,MOVE,DataSlip_3
342,1,MOVE,DataSlip_17
343,1,MOVE,DataSlip_23
343,2,MOVE,DataSlip_25
344,3,MOVE,DataSlip_2
344,1,MOVE,DataSlip_1
345,2,SHRINK,DataSlip_25
345,1,MOVE,DataSlip_15
346,1,MOVE,DataSlip_24
347,2,MOVE,DataSlip_25
347,3,MOVE,DataSlip_2
354,3,SHRINK,DataSlip_2
356,3,MOVE,DataSlip_2
357,2,MOVE,DataSlip_3
358,2,MOVE,DataSlip_17
359,2,MOVE,DataSlip_23
360,2,ENLARGE,DataSlip_3
362,2,MOVE,DataSlip_3
366,3,SHRINK,DataSlip_3
368,3,MOVE,DataSlip_3
370,1,MOVE,DataSlip_17
370,2,MOVE,DataSlip_23
372,3,MOVE,DataSlip_24
372,2,NORMAL,DataSlip_23
374,2,MOVE,DataSlip_23
378,1,ENLARGE,DataSlip_17
379,2,SHRINK,DataSlip_23
