time,userID,action,objName
136,1,MOVE,DataSlip_4
136,3,NORMAL,DataSlip_2
137,1,ENLARGE,DataSlip_4
137,2,MOVE,DataSlip_25
139,1,MOVE,DataSlip_4
140,2,NORMAL,DataSlip_25
141,2,MOVE,DataSlip_25
143,3,NORMAL,DataSlip_2
143,2,NORMAL,DataSlip_4
145,1,MOVE,DataSlip_4
145,3,SHRINK,DataSlip_2
146,3,MOVE,DataSlip_2
146,2,MOVE,DataSlip_25
146,3,MOVE,DataSlip_14
147,2,MOVE,DataSlip_25
147,1,MOVE,DataSlip_18
148,3,NORMAL,DataSlip_14
149,1,ENLARGE,DataSlip_18
150,2,ENLARGE,DataSlip_21
150,2,NORMAL,DataSlip_21
151,2,ENLARGE,DataSlip_21
151,2,NORMAL,DataSlip_21
151,3,MOVE,DataSlip_14
151,1,MOVE,DataSlip_18
152,2,ROTATE,DataSlip_21
154,3,MOVE,DataSlip_14
154,1,NORMAL,DataSlip_18
155,3,NORMAL,DataSlip_14
157,1,MOVE,DataSlip_18
157,3,MOVE,DataSlip_14
158,2,MOVE,DataSlip_21
158,3,SHRINK,DataSlip_14
159,1,MOVE,DataSlip_16
160,1,NORMAL,DataSlip_16
161,3,MOVE,DataSlip_17
162,3,NORMAL,DataSlip_17
163,2,MOVE,DataSlip_15
164,1,MOVE,DataSlip_16
164,2,NORMAL,DataSlip_15
166,1,MOVE,DataSlip_7
168,1,NORMAL,DataSlip_7
168,3,NORMAL,DataSlip_17
171,1,MOVE,DataSlip_7
172,3,MOVE,DataSlip_17
174,2,MOVE,DataSlip_15
175,3,MOVE,DataSlip_5
176,3,MOVE,DataSlip_14
176,2,MOVE,DataSlip_13
177,1,MOVE,DataSlip_22
177,3,MOVE,DataSlip_2
178,2,NORMAL,DataSlip_13
178,1,NORMAL,DataSlip_22
179,3,SHRINK,DataSlip_5
180,3,ENLARGE,DataSlip_5
180,1,MOVE,DataSlip_22
180,2,NORMAL,DataSlip_13
181,3,MOVE,DataSlip_5
182,2,MOVE,DataSlip_13
183,1,MOVE,DataSlip_22
184,1,MOVE,DataSlip_1
184,2,MOVE,DataSlip_9
186,2,NORMAL,DataSlip_9
186,1,NORMAL,DataSlip_1
187,3,NORMAL,DataSlip_5
187,1,MOVE,DataSlip_1
188,3,MOVE,DataSlip_5
189,1,MOVE,DataSlip_1
189,3,MOVE,DataSlip_23
191,1,MOVE,Note_0
191,3,NORMAL,DataSlip_23
192,1,MOVE,Note_0
193,1,MOVE,Note_0
193,2,MOVE,DataSlip_9
194,1,MOVE,DataSlip_19
194,2,MOVE,DataSlip_9
195,2,MOVE,DataSlip_9
196,1,MOVE,DataSlip_12
196,2,MOVE,DataSlip_9
197,3,MOVE,DataSlip_23
198,1,NORMAL,DataSlip_12
198,2,MOVE,DataSlip_9
199,3,MOVE,DataSlip_17
199,1,MOVE,DataSlip_12
199,2,MOVE,DataSlip_8
201,2,MOVE,DataSlip_13
201,3,MOVE,DataSlip_14
202,1,SHRINK,DataSlip_12
202,1,NORMAL,DataSlip_12
203,1,ROTATE,DataSlip_12
203,2,NORMAL,DataSlip_8
204,3,MOVE,DataSlip_3
205,1,NORMAL,DataSlip_12
206,3,NORMAL,DataSlip_3
206,1,MOVE,DataSlip_12
207,2,MOVE,DataSlip_8
207,3,MOVE,DataSlip_3
207,1,MOVE,DataSlip_24
209,1,NORMAL,DataSlip_24
209,1,ROTATE,DataSlip_24
210,1,MOVE,DataSlip_24
213,3,SHRINK,DataSlip_3
213,2,MOVE,DataSlip_8
215,1,MOVE,DataSlip_24
215,3,NORMAL,DataSlip_3
216,3,MOVE,DataSlip_3
216,2,MOVE,DataSlip_10
218,3,MOVE,DataSlip_6
219,1,MOVE,DataSlip_19
220,1,MOVE,DataSlip_10
220,3,NORMAL,DataSlip_6
221,1,NORMAL,DataSlip_10
221,2,MOVE,DataSlip_26
221,3,MOVE,DataSlip_6
222,3,MOVE,DataSlip_2
223,2,NORMAL,DataSlip_26
224,3,MOVE,DataSlip_14
224,1,MOVE,DataSlip_1
225,1,MOVE,DataSlip_10
226,1,MOVE,DataSlip_19
226,2,MOVE,DataSlip_26
227,1,NORMAL,DataSlip_19
228,3,MOVE,DataSlip_6
230,2,MOVE,DataSlip_20
231,3,MOVE,DataSlip_11
231,2,MOVE,DataSlip_20
232,2,MOVE,DataSlip_14
233,1,MOVE,DataSlip_19
233,3,ENLARGE,DataSlip_11
233,2,MOVE,DataSlip_2
234,1,NORMAL,DataSlip_20
235,-1,SAVE,null
235,-1,INIT_STAGE2,
235,1,INTERACTION_TIME,62499 of 186456
235,1,SLIP_INTERACTION,43 of 122
235,2,INTERACTION_TIME,72379 of 186456
235,2,SLIP_INTERACTION,36 of 122
235,3,INTERACTION_TIME,51578 of 186456
235,3,SLIP_INTERACTION,43 of 122
235,2,SHRINK,DataSlip_14
235,3,MOVE,DataSlip_11
262,1,MOVE,InformationDialog
267,1,MOVE,DataSlip_19
268,1,MOVE,DataSlip_20
271,2,CREATE_OBJECT,StorageArea_2
285,1,MOVE,TextEntryDialog
288,3,MOVE,TextEntryDialog
290,1,MOVE,Keyboard
317,-1,ENTER_GROUP_NAME,stay name is: stay
320,3,MOVE,stay
345,2,MOVE,stay
481,1,MOVE,DataSlip_20
481,2,MOVE,stay
481,3,MOVE,DataSlip_11
483,1,CREATE_OBJECT,StorageArea_3
493,-1,ENTER_GROUP_NAME,leave name is: leave
499,1,MOVE,leave
499,2,NORMAL,DataSlip_11
501,3,MOVE,DataSlip_13
502,1,MOVE,DataSlip_22
503,2,MOVE,DataSlip_11
504,1,MOVE,DataSlip_22
506,2,MOVE,DataSlip_14
507,1,MOVE,DataSlip_14
508,3,SHRINK,DataSlip_13
508,3,NORMAL,DataSlip_13
508,2,MOVE,DataSlip_14
508,3,ROTATE,DataSlip_13
509,1,MOVE,DataSlip_14
509,3,MOVE,DataSlip_13
511,2,MOVE,DataSlip_14
512,2,NORMAL,DataSlip_14
514,3,MOVE,DataSlip_6
516,1,SHRINK,DataSlip_22
518,1,ENLARGE,DataSlip_22
518,1,NORMAL,DataSlip_22
518,1,ROTATE,DataSlip_22
520,3,MOVE,DataSlip_6
520,1,MOVE,DataSlip_22
521,3,MOVE,DataSlip_6
521,2,NORMAL,DataSlip_14
523,1,SHRINK,DataSlip_22
523,2,SHRINK,DataSlip_14
523,3,MOVE,DataSlip_17
525,1,MOVE,DataSlip_22
526,2,MOVE,DataSlip_14
527,2,ENLARGE,DataSlip_14
530,1,ADD_OBJ_TO_GROUP,DataSlip_22 -> leave
530,1,SHRINK,DataSlip_22
530,1,MOVE,DataSlip_22
531,2,NORMAL,DataSlip_14
532,2,NORMAL,DataSlip_14
532,3,MOVE,DataSlip_17
532,2,NORMAL,DataSlip_14
532,1,MOVE,DataSlip_21
534,3,MOVE,DataSlip_9
534,2,NORMAL,DataSlip_14
535,2,NORMAL,DataSlip_14
537,1,ENLARGE,DataSlip_21
539,2,ROTATE,DataSlip_14
539,1,ADD_OBJ_TO_GROUP,DataSlip_21 -> leave
539,1,SHRINK,DataSlip_21
539,1,MOVE,DataSlip_21
540,3,MOVE,DataSlip_9
541,2,SHRINK,DataSlip_14
542,-1,REMOVE_OBJ_FROM_GROUP,DataSlip_21 -> leave
542,1,REMOVE_OBJ_FROM_GROUP,DataSlip_21 -> leave
542,1,MOVE,DataSlip_21
543,3,MOVE,DataSlip_8
544,1,NORMAL,DataSlip_21
546,1,MOVE,DataSlip_21
553,2,MOVE,Keyboard
557,2,CREATE_OBJECT,StorageArea_4
557,3,MOVE,DataSlip_8
559,2,MOVE,Keyboard
591,2,MOVE,TextEntryDialog
594,2,MOVE,TextEntryDialog
594,2,MOVE,TextEntryDialog
597,3,NORMAL,TextEntryDialog
599,3,ROTATE,TextEntryDialog
602,-1,ENTER_GROUP_NAME,lll name is: lll
604,2,DELETE_GROUP,lll
605,3,MOVE,Trash
606,3,MOVE,Trash
606,1,MOVE,DataSlip_21
610,2,MOVE,Trash
613,1,MOVE,DataSlip_11
613,1,MOVE,DataSlip_12
615,1,MOVE,DataSlip_1
617,1,NORMAL,DataSlip_1
617,1,ROTATE,DataSlip_1
618,1,MOVE,DataSlip_1
620,1,MOVE,DataSlip_10
626,3,MOVE,DataSlip_9
627,3,MOVE,DataSlip_9
628,1,MOVE,DataSlip_9
631,1,MOVE,DataSlip_9
634,2,MOVE,DataSlip_9
635,1,CREATE_OBJECT,StorageArea_5
636,2,MOVE,DataSlip_1
650,-1,ENTER_GROUP_NAME,family name is: family
652,2,MOVE,Keyboard
654,1,MOVE,family
657,3,MOVE,family
658,1,MOVE,DataSlip_10
659,1,MOVE,DataSlip_20
660,1,MOVE,DataSlip_16
661,1,MOVE,DataSlip_24
662,1,MOVE,DataSlip_7
662,1,MOVE,DataSlip_18
663,3,MOVE,DataSlip_10
664,1,MOVE,leave
665,1,MOVE,leave
666,3,ADD_OBJ_TO_GROUP,DataSlip_9 -> stay
666,3,SHRINK,DataSlip_9
666,3,MOVE,DataSlip_9
666,-1,REMOVE_OBJ_FROM_GROUP,DataSlip_22 -> leave
666,1,REMOVE_OBJ_FROM_GROUP,DataSlip_22 -> leave
666,1,MOVE,DataSlip_22
