time,userID,action,objName
177,1,MOVE,DataSlip_6
177,3,MOVE,DataSlip_5
178,3,MOVE,DataSlip_5
178,1,ENLARGE,DataSlip_6
178,3,MOVE,DataSlip_15
180,3,MOVE,DataSlip_6
181,2,MOVE,DataSlip_23
183,2,MOVE,DataSlip_23
194,3,MOVE,DataSlip_6
196,1,MOVE,DataSlip_6
197,3,MOVE,DataSlip_6
199,1,NORMAL,DataSlip_13
199,3,SHRINK,DataSlip_6
200,1,MOVE,DataSlip_13
201,3,MOVE,DataSlip_6
202,1,MOVE,DataSlip_13
203,3,MOVE,DataSlip_6
204,3,MOVE,DataSlip_13
208,2,ENLARGE,DataSlip_23
210,2,MOVE,DataSlip_23
212,2,SHRINK,DataSlip_23
215,3,ENLARGE,DataSlip_13
216,3,MOVE,DataSlip_13
217,2,MOVE,DataSlip_23
228,1,MOVE,DataSlip_13
228,2,MOVE,DataSlip_23
230,3,MOVE,DataSlip_13
230,2,MOVE,DataSlip_23
231,3,MOVE,DataSlip_13
233,3,SHRINK,DataSlip_13
234,2,MOVE,DataSlip_23
234,3,MOVE,DataSlip_13
236,1,NORMAL,DataSlip_23
237,1,ENLARGE,DataSlip_23
239,1,MOVE,DataSlip_23
244,2,MOVE,DataSlip_23
244,2,MOVE,DataSlip_23
249,2,MOVE,DataSlip_23
254,1,SHRINK,DataSlip_23
255,1,MOVE,DataSlip_23
256,1,MOVE,DataSlip_14
257,1,ENLARGE,DataSlip_14
259,1,MOVE,DataSlip_14
263,3,MOVE,DataSlip_23
275,1,MOVE,DataSlip_12
277,1,ENLARGE,DataSlip_12
277,3,SHRINK,DataSlip_14
278,1,MOVE,DataSlip_12
286,2,MOVE,DataSlip_12
291,3,MOVE,DataSlip_14
292,3,SHRINK,DataSlip_12
294,3,MOVE,DataSlip_12
295,2,MOVE,DataSlip_10
297,1,MOVE,DataSlip_21
297,2,NORMAL,DataSlip_10
300,2,MOVE,DataSlip_10
302,3,ENLARGE,DataSlip_21
304,3,MOVE,DataSlip_21
306,2,MOVE,DataSlip_10
311,3,SHRINK,DataSlip_21
313,3,MOVE,DataSlip_21
315,3,MOVE,DataSlip_5
