time,userID,action,objName
53,2,MOVE,Note_0
55,3,ENLARGE,Note_0
57,3,ENLARGE,Note_0
58,3,ENLARGE,Note_0
59,3,ENLARGE,Note_0
62,2,MOVE,Note_0
72,3,MOVE,Note_0
73,2,MOVE,DataSlip_19
74,3,MOVE,DataSlip_8
74,1,MOVE,DataSlip_3
75,1,MOVE,DataSlip_20
76,2,MOVE,DataSlip_12
77,2,NORMAL,DataSlip_12
77,3,MOVE,DataSlip_17
77,1,MOVE,DataSlip_1
78,3,MOVE,DataSlip_15
79,2,MOVE,DataSlip_12
80,3,MOVE,DataSlip_11
81,1,ENLARGE,DataSlip_3
84,3,NORMAL,DataSlip_8
84,2,MOVE,DataSlip_12
85,1,MOVE,DataSlip_3
86,2,SHRINK,DataSlip_12
87,2,MOVE,DataSlip_12
88,1,MOVE,DataSlip_3
88,3,MOVE,DataSlip_8
88,2,MOVE,DataSlip_19
89,2,MOVE,DataSlip_6
89,3,MOVE,DataSlip_15
91,2,MOVE,DataSlip_18
92,3,SHRINK,DataSlip_8
92,2,MOVE,DataSlip_6
93,2,SHRINK,DataSlip_18
94,1,SHRINK,DataSlip_3
94,2,ENLARGE,DataSlip_18
95,3,NORMAL,DataSlip_15
96,1,MOVE,DataSlip_3
97,2,MOVE,DataSlip_18
97,3,MOVE,DataSlip_15
99,1,MOVE,DataSlip_20
100,2,MOVE,DataSlip_18
101,2,SHRINK,DataSlip_18
103,1,ENLARGE,DataSlip_20
103,3,NORMAL,DataSlip_15
104,3,SHRINK,DataSlip_15
105,1,MOVE,DataSlip_20
105,3,MOVE,DataSlip_15
106,2,MOVE,DataSlip_18
107,3,NORMAL,DataSlip_17
107,2,NORMAL,DataSlip_18
109,2,MOVE,DataSlip_18
111,2,MOVE,DataSlip_18
112,1,SHRINK,DataSlip_20
112,2,SHRINK,DataSlip_18
114,2,MOVE,DataSlip_18
115,1,MOVE,DataSlip_20
115,2,MOVE,DataSlip_1
116,2,MOVE,DataSlip_18
117,2,MOVE,DataSlip_6
117,1,MOVE,DataSlip_4
118,3,SHRINK,DataSlip_17
119,1,ENLARGE,DataSlip_4
120,2,MOVE,DataSlip_1
121,1,MOVE,DataSlip_4
121,3,NORMAL,DataSlip_11
121,2,NORMAL,DataSlip_1
122,2,MOVE,DataSlip_1
128,1,SHRINK,DataSlip_4
131,1,MOVE,DataSlip_4
133,3,MOVE,DataSlip_1
133,1,MOVE,DataSlip_14
135,1,ENLARGE,DataSlip_14
135,2,MOVE,DataSlip_1
136,1,MOVE,DataSlip_14
137,2,SHRINK,DataSlip_1
138,3,SHRINK,DataSlip_11
138,2,MOVE,DataSlip_1
139,2,MOVE,DataSlip_6
141,3,MOVE,DataSlip_5
141,1,SHRINK,DataSlip_14
143,1,MOVE,DataSlip_14
143,2,MOVE,DataSlip_2
143,3,NORMAL,DataSlip_5
144,2,MOVE,DataSlip_6
145,2,MOVE,DataSlip_16
146,1,MOVE,DataSlip_13
146,2,MOVE,DataSlip_10
147,2,MOVE,DataSlip_1
148,1,ENLARGE,DataSlip_13
148,3,MOVE,DataSlip_5
150,1,MOVE,DataSlip_13
151,2,MOVE,DataSlip_2
153,2,NORMAL,DataSlip_2
153,3,SHRINK,DataSlip_5
155,1,SHRINK,DataSlip_13
155,3,MOVE,DataSlip_5
156,2,MOVE,DataSlip_2
156,3,MOVE,DataSlip_11
157,3,MOVE,DataSlip_15
157,1,MOVE,DataSlip_18
159,1,ENLARGE,DataSlip_18
159,2,SHRINK,DataSlip_2
160,1,MOVE,DataSlip_18
161,3,MOVE,DataSlip_8
161,2,MOVE,DataSlip_2
163,2,MOVE,DataSlip_12
163,2,MOVE,DataSlip_19
165,1,SHRINK,DataSlip_18
166,1,MOVE,DataSlip_18
169,2,MOVE,DataSlip_2
170,2,MOVE,DataSlip_1
170,2,MOVE,DataSlip_1
170,2,SHRINK,DataSlip_12
170,2,NORMAL,DataSlip_12
171,1,MOVE,DataSlip_6
172,2,NORMAL,DataSlip_12
174,2,ROTATE,DataSlip_12
175,1,ENLARGE,DataSlip_6
175,2,MOVE,DataSlip_12
176,3,MOVE,DataSlip_11
177,1,MOVE,DataSlip_6
177,3,MOVE,DataSlip_15
178,2,MOVE,DataSlip_12
178,3,MOVE,DataSlip_8
180,2,NORMAL,DataSlip_12
180,3,MOVE,DataSlip_7
181,2,ROTATE,DataSlip_12
182,3,ENLARGE,DataSlip_7
184,3,MOVE,DataSlip_7
188,1,SHRINK,DataSlip_6
189,1,MOVE,DataSlip_6
190,3,NORMAL,DataSlip_7
191,3,SHRINK,DataSlip_7
191,2,MOVE,DataSlip_2
192,1,MOVE,DataSlip_1
192,2,MOVE,DataSlip_2
193,3,MOVE,DataSlip_7
193,2,MOVE,DataSlip_12
194,1,ENLARGE,DataSlip_1
194,3,MOVE,DataSlip_7
196,1,MOVE,DataSlip_1
197,2,MOVE,DataSlip_16
198,3,MOVE,DataSlip_15
198,2,ENLARGE,DataSlip_16
201,2,MOVE,DataSlip_16
201,3,MOVE,DataSlip_11
201,1,MOVE,DataSlip_1
202,3,MOVE,DataSlip_16
204,2,SHRINK,DataSlip_16
205,2,MOVE,DataSlip_16
206,2,NORMAL,DataSlip_16
209,1,SHRINK,DataSlip_1
212,3,MOVE,DataSlip_19
212,2,SHRINK,DataSlip_16
213,3,MOVE,DataSlip_15
214,2,MOVE,DataSlip_16
215,2,MOVE,DataSlip_16
215,3,MOVE,DataSlip_15
216,1,MOVE,DataSlip_2
217,2,MOVE,DataSlip_16
217,3,MOVE,DataSlip_19
218,1,ENLARGE,DataSlip_2
218,3,MOVE,DataSlip_19
219,1,MOVE,DataSlip_2
220,2,MOVE,DataSlip_15
222,3,MOVE,DataSlip_9
222,2,NORMAL,DataSlip_15
224,3,ENLARGE,DataSlip_9
225,1,SHRINK,DataSlip_2
225,3,MOVE,DataSlip_9
226,2,SHRINK,DataSlip_15
226,3,MOVE,DataSlip_9
227,1,MOVE,DataSlip_2
227,3,MOVE,DataSlip_9
229,2,MOVE,DataSlip_15
229,1,MOVE,DataSlip_16
230,2,NORMAL,DataSlip_15
230,1,ENLARGE,DataSlip_16
232,3,SHRINK,DataSlip_9
233,1,MOVE,DataSlip_16
233,2,MOVE,DataSlip_15
236,3,MOVE,DataSlip_19
237,2,MOVE,DataSlip_15
238,2,SHRINK,DataSlip_15
239,3,MOVE,DataSlip_9
240,1,SHRINK,DataSlip_16
240,2,MOVE,DataSlip_15
240,3,MOVE,DataSlip_9
241,1,MOVE,DataSlip_16
242,3,MOVE,DataSlip_8
252,2,MOVE,DataSlip_19
253,1,MOVE,DataSlip_6
254,2,MOVE,DataSlip_10
254,3,MOVE,DataSlip_5
255,2,MOVE,DataSlip_19
256,3,NORMAL,DataSlip_5
256,1,MOVE,DataSlip_9
258,2,NORMAL,DataSlip_10
260,2,MOVE,DataSlip_10
261,1,ENLARGE,DataSlip_9
261,3,SHRINK,DataSlip_5
262,3,MOVE,DataSlip_5
262,2,SHRINK,DataSlip_10
263,3,MOVE,DataSlip_7
263,1,MOVE,DataSlip_9
264,2,MOVE,DataSlip_10
265,2,MOVE,DataSlip_15
265,3,NORMAL,DataSlip_7
268,2,MOVE,DataSlip_12
270,3,MOVE,DataSlip_7
271,1,SHRINK,DataSlip_9
272,3,SHRINK,DataSlip_7
272,2,NORMAL,DataSlip_12
272,1,MOVE,DataSlip_9
273,3,MOVE,DataSlip_7
273,1,MOVE,DataSlip_6
274,3,MOVE,DataSlip_11
274,1,MOVE,DataSlip_20
275,1,MOVE,DataSlip_16
275,1,MOVE,DataSlip_4
275,3,SHRINK,DataSlip_11
276,2,SHRINK,DataSlip_12
276,3,ENLARGE,DataSlip_11
276,1,MOVE,DataSlip_19
277,2,MOVE,DataSlip_12
278,1,ENLARGE,DataSlip_19
279,-1,SAVE,null
279,-1,INIT_STAGE2,
279,1,INTERACTION_TIME,71121 of 285466
279,1,SLIP_INTERACTION,65 of 215
279,2,INTERACTION_TIME,117739 of 285466
279,2,SLIP_INTERACTION,85 of 215
279,3,INTERACTION_TIME,96606 of 285466
279,3,SLIP_INTERACTION,65 of 215
291,1,MOVE,DataSlip_19
292,1,SHRINK,DataSlip_19
292,2,SHRINK,DataSlip_11
298,1,CREATE_OBJECT,Sticker_0
300,1,MOVE,Sticker_0
305,2,MOVE,Keyboard
307,2,CREATE_OBJECT,StorageArea_2
324,-1,ENTER_GROUP_NAME,stay name is: stay
326,2,MOVE,stay
327,1,MOVE,stay
329,2,MOVE,stay
329,3,MOVE,DataSlip_17
330,1,MOVE,stay
330,2,MOVE,Sticker_0
332,3,ENLARGE,DataSlip_17
