time,userID,action,objName
99,2,MOVE,DataSlip_12
101,1,MOVE,DataSlip_6
103,3,MOVE,DataSlip_1
104,2,MOVE,DataSlip_9
105,3,ENLARGE,DataSlip_1
108,3,MOVE,DataSlip_1
113,3,MOVE,DataSlip_1
125,1,MOVE,DataSlip_1
127,3,MOVE,DataSlip_1
128,1,MOVE,DataSlip_3
130,3,SHRINK,DataSlip_1
132,2,MOVE,DataSlip_5
133,3,MOVE,DataSlip_1
134,2,MOVE,Note_0
134,2,MOVE,DataSlip_15
135,2,MOVE,DataSlip_11
137,1,MOVE,DataSlip_14
137,2,MOVE,DataSlip_8
138,2,MOVE,DataSlip_18
138,1,MOVE,DataSlip_6
138,2,MOVE,DataSlip_17
139,2,MOVE,DataSlip_9
140,2,MOVE,DataSlip_12
141,2,MOVE,DataSlip_2
142,2,ENLARGE,DataSlip_2
142,2,NORMAL,DataSlip_2
143,2,ROTATE,DataSlip_2
152,2,NORMAL,DataSlip_2
152,2,NORMAL,DataSlip_2
153,2,ENLARGE,DataSlip_2
154,2,ROTATE,DataSlip_2
157,2,MOVE,DataSlip_2
158,2,MOVE,DataSlip_2
164,2,MOVE,DataSlip_2
165,2,MOVE,DataSlip_2
166,1,MOVE,DataSlip_3
167,2,SHRINK,DataSlip_2
169,2,MOVE,DataSlip_2
169,1,MOVE,DataSlip_1
170,1,MOVE,DataSlip_3
172,1,ENLARGE,DataSlip_3
175,1,MOVE,DataSlip_3
187,2,SHRINK,DataSlip_3
191,3,MOVE,DataSlip_3
192,3,MOVE,DataSlip_1
193,3,MOVE,DataSlip_3
195,3,MOVE,DataSlip_2
196,3,MOVE,DataSlip_3
196,2,MOVE,DataSlip_4
198,2,ENLARGE,DataSlip_4
198,3,MOVE,DataSlip_9
199,2,MOVE,DataSlip_4
207,2,SHRINK,DataSlip_4
210,3,MOVE,DataSlip_4
212,2,MOVE,DataSlip_18
215,3,MOVE,DataSlip_5
217,3,ENLARGE,DataSlip_5
219,3,MOVE,DataSlip_5
225,3,SHRINK,DataSlip_5
227,3,MOVE,DataSlip_5
231,1,MOVE,DataSlip_6
232,1,ENLARGE,DataSlip_6
234,1,MOVE,DataSlip_6
245,1,SHRINK,DataSlip_6
249,1,MOVE,DataSlip_6
251,2,MOVE,DataSlip_6
256,3,MOVE,DataSlip_7
257,3,ENLARGE,DataSlip_7
259,3,MOVE,DataSlip_7
272,3,SHRINK,DataSlip_7
273,2,MOVE,DataSlip_17
275,2,MOVE,DataSlip_8
276,3,MOVE,DataSlip_7
278,3,MOVE,DataSlip_1
279,2,MOVE,DataSlip_8
279,3,MOVE,DataSlip_2
280,2,ENLARGE,DataSlip_8
280,3,MOVE,DataSlip_3
281,2,MOVE,DataSlip_8
286,2,SHRINK,DataSlip_8
288,3,MOVE,DataSlip_4
289,2,MOVE,DataSlip_8
289,3,MOVE,DataSlip_5
290,2,MOVE,DataSlip_6
291,3,MOVE,DataSlip_6
292,2,MOVE,DataSlip_7
293,1,MOVE,DataSlip_9
295,2,MOVE,DataSlip_8
295,1,ENLARGE,DataSlip_9
296,1,MOVE,DataSlip_9
315,3,SHRINK,DataSlip_9
316,2,MOVE,DataSlip_6
317,2,MOVE,DataSlip_7
318,3,MOVE,DataSlip_9
319,2,MOVE,DataSlip_8
319,1,MOVE,DataSlip_1
320,2,MOVE,DataSlip_9
321,1,MOVE,DataSlip_2
325,1,MOVE,DataSlip_3
326,2,MOVE,DataSlip_16
328,2,MOVE,DataSlip_10
329,2,ENLARGE,DataSlip_10
329,2,NORMAL,DataSlip_10
329,2,ROTATE,DataSlip_10
330,2,MOVE,DataSlip_10
335,2,SHRINK,DataSlip_10
337,2,MOVE,DataSlip_10
339,2,MOVE,DataSlip_7
340,2,MOVE,DataSlip_8
340,2,MOVE,DataSlip_9
341,3,MOVE,DataSlip_11
342,3,MOVE,DataSlip_4
342,2,MOVE,DataSlip_5
343,2,MOVE,DataSlip_6
343,2,MOVE,DataSlip_7
344,1,MOVE,DataSlip_4
344,3,MOVE,DataSlip_5
346,3,MOVE,DataSlip_6
347,3,MOVE,DataSlip_7
347,2,MOVE,DataSlip_8
349,2,MOVE,DataSlip_9
350,2,MOVE,DataSlip_10
350,3,MOVE,DataSlip_8
354,3,ENLARGE,DataSlip_11
356,3,MOVE,DataSlip_11
368,3,MOVE,DataSlip_11
369,3,SHRINK,DataSlip_11
371,3,MOVE,DataSlip_11
373,2,MOVE,DataSlip_11
376,3,MOVE,DataSlip_12
378,2,ENLARGE,DataSlip_12
383,2,MOVE,DataSlip_12
386,2,SHRINK,DataSlip_12
386,2,NORMAL,DataSlip_12
388,2,MOVE,DataSlip_9
389,3,MOVE,DataSlip_8
389,2,MOVE,DataSlip_10
389,2,MOVE,DataSlip_11
390,3,MOVE,DataSlip_7
392,2,MOVE,DataSlip_12
399,3,MOVE,DataSlip_13
402,1,ENLARGE,DataSlip_13
403,1,MOVE,DataSlip_13
408,1,SHRINK,DataSlip_13
412,1,MOVE,DataSlip_13
413,3,MOVE,DataSlip_14
415,3,ENLARGE,DataSlip_14
415,3,NORMAL,DataSlip_14
415,3,ENLARGE,DataSlip_14
416,3,MOVE,DataSlip_14
421,1,SHRINK,DataSlip_14
424,1,MOVE,DataSlip_14
425,2,MOVE,DataSlip_15
426,2,ENLARGE,DataSlip_15
428,2,MOVE,DataSlip_15
436,2,SHRINK,DataSlip_15
438,2,SHRINK,DataSlip_15
439,2,ROTATE,DataSlip_15
441,2,MOVE,DataSlip_15
443,1,MOVE,DataSlip_15
445,3,MOVE,DataSlip_16
448,3,MOVE,DataSlip_16
449,3,ENLARGE,DataSlip_16
450,3,MOVE,DataSlip_16
462,3,SHRINK,DataSlip_16
463,3,MOVE,DataSlip_16
464,2,ENLARGE,DataSlip_17
465,2,MOVE,DataSlip_17
473,2,SHRINK,DataSlip_17
475,2,MOVE,DataSlip_17
475,1,MOVE,DataSlip_18
478,2,MOVE,DataSlip_17
478,1,ENLARGE,DataSlip_18
484,1,SHRINK,DataSlip_18
487,1,MOVE,DataSlip_18
488,2,MOVE,DataSlip_19
489,2,ENLARGE,DataSlip_19
490,2,MOVE,DataSlip_19
506,2,SHRINK,DataSlip_19
508,2,MOVE,DataSlip_19
509,3,MOVE,DataSlip_20
511,3,ENLARGE,DataSlip_20
511,-1,SAVE,null
511,-1,INIT_STAGE2,
511,1,INTERACTION_TIME,59018 of 236116
511,1,SLIP_INTERACTION,35 of 174
511,2,INTERACTION_TIME,93383 of 236116
511,2,SLIP_INTERACTION,80 of 174
511,3,INTERACTION_TIME,83715 of 236116
511,3,SLIP_INTERACTION,59 of 174
537,3,MOVE,DataSlip_20
545,3,SHRINK,DataSlip_20
548,3,MOVE,DataSlip_20
565,3,MOVE,Keyboard
637,2,MOVE,Keyboard
641,1,CREATE_OBJECT,StorageArea_2
647,3,MOVE,Keyboard
653,-1,ENTER_GROUP_NAME,1122 name is: 1122
658,1,MOVE,Keyboard
682,3,MOVE,Red herrings
694,3,DELETE_GROUP,1122
698,3,CREATE_OBJECT,StorageArea_3
702,3,MOVE,Keyboard
712,-1,ENTER_GROUP_NAME,were lives name is: were lives
714,3,MOVE,were lives
721,3,MOVE,DataSlip_1
722,3,ENLARGE,DataSlip_1
726,3,MOVE,DataSlip_1
728,3,SHRINK,DataSlip_1
731,3,MOVE,DataSlip_1
732,3,MOVE,DataSlip_2
733,3,ENLARGE,DataSlip_2
733,3,NORMAL,DataSlip_2
733,3,SHRINK,DataSlip_2
733,3,NORMAL,DataSlip_2
733,3,ENLARGE,DataSlip_2
735,3,MOVE,DataSlip_2
736,3,SHRINK,DataSlip_2
739,2,ENLARGE,DataSlip_15
741,3,MOVE,DataSlip_15
745,2,ENLARGE,DataSlip_13
745,3,MOVE,DataSlip_15
746,3,MOVE,DataSlip_15
747,2,MOVE,DataSlip_13
748,3,SHRINK,DataSlip_15
749,2,MOVE,DataSlip_13
752,1,MOVE,DataSlip_17
752,2,SHRINK,DataSlip_13
754,3,MOVE,DataSlip_2
755,3,SHRINK,DataSlip_16
755,3,ENLARGE,DataSlip_16
757,3,MOVE,DataSlip_16
759,3,SHRINK,DataSlip_16
762,3,ADD_OBJ_TO_GROUP,DataSlip_16 -> were lives
762,3,SHRINK,DataSlip_16
762,3,MOVE,DataSlip_16
