time,userID,action,objName
51,2,MOVE,DataSlip_1
77,2,SHRINK,DataSlip_16
81,2,MOVE,DataSlip_16
89,1,ENLARGE,DataSlip_15
103,1,SHRINK,DataSlip_15
108,3,MOVE,DataSlip_15
115,3,MOVE,DataSlip_15
122,3,MOVE,DataSlip_11
125,1,MOVE,DataSlip_11
128,1,MOVE,Note_0
132,3,MOVE,DataSlip_10
136,2,MOVE,DataSlip_19
137,1,MOVE,DataSlip_20
140,2,MOVE,DataSlip_19
140,1,ENLARGE,DataSlip_20
143,1,MOVE,DataSlip_20
148,3,MOVE,DataSlip_10
150,3,ENLARGE,DataSlip_10
153,3,MOVE,DataSlip_10
156,3,MOVE,DataSlip_10
159,3,SHRINK,DataSlip_10
161,1,SHRINK,DataSlip_20
162,3,MOVE,DataSlip_10
163,3,MOVE,DataSlip_14
164,3,ENLARGE,DataSlip_14
166,3,MOVE,DataSlip_14
177,3,SHRINK,DataSlip_14
180,3,MOVE,DataSlip_14
181,3,MOVE,Note_0
181,2,MOVE,DataSlip_19
182,2,ENLARGE,DataSlip_19
197,2,SHRINK,DataSlip_19
198,3,MOVE,DataSlip_20
200,2,MOVE,DataSlip_19
200,3,ENLARGE,DataSlip_20
201,2,MOVE,DataSlip_19
201,3,MOVE,DataSlip_20
206,1,SHRINK,DataSlip_20
209,1,MOVE,DataSlip_20
212,3,MOVE,DataSlip_4
213,2,MOVE,DataSlip_11
213,3,MOVE,DataSlip_15
215,2,MOVE,DataSlip_16
217,2,MOVE,DataSlip_1
218,2,MOVE,DataSlip_20
221,1,ENLARGE,DataSlip_16
222,2,MOVE,DataSlip_1
223,1,MOVE,DataSlip_16
224,3,MOVE,DataSlip_11
261,1,SHRINK,DataSlip_16
263,3,ENLARGE,DataSlip_11
264,1,MOVE,DataSlip_16
265,3,MOVE,DataSlip_11
280,3,SHRINK,DataSlip_11
283,3,MOVE,DataSlip_11
283,3,MOVE,DataSlip_11
285,2,MOVE,DataSlip_11
286,2,MOVE,DataSlip_1
287,2,ENLARGE,DataSlip_1
289,2,MOVE,DataSlip_1
307,2,SHRINK,DataSlip_1
310,2,MOVE,DataSlip_1
314,1,MOVE,DataSlip_12
316,1,ENLARGE,DataSlip_12
318,3,MOVE,DataSlip_1
319,1,MOVE,DataSlip_12
338,1,SHRINK,DataSlip_12
339,1,MOVE,DataSlip_12
341,3,ENLARGE,DataSlip_4
341,1,MOVE,DataSlip_12
343,3,MOVE,DataSlip_4
354,3,SHRINK,DataSlip_4
