time,userID,action,objName
42,2,MOVE,Note_0
44,2,ENLARGE,Note_0
47,3,MOVE,Note_0
54,2,ENLARGE,DataSlip_15
56,2,MOVE,DataSlip_15
67,2,SHRINK,DataSlip_15
68,2,NORMAL,DataSlip_15
75,2,MOVE,DataSlip_15
79,2,MOVE,DataSlip_15
80,2,MOVE,DataSlip_15
80,2,MOVE,DataSlip_15
83,2,MOVE,DataSlip_14
85,2,NORMAL,DataSlip_14
89,2,MOVE,DataSlip_14
92,2,MOVE,DataSlip_14
95,2,MOVE,DataSlip_14
96,2,MOVE,DataSlip_14
100,3,NORMAL,DataSlip_12
105,2,MOVE,DataSlip_14
107,2,NORMAL,DataSlip_9
108,2,MOVE,DataSlip_9
110,1,MOVE,DataSlip_20
111,2,MOVE,DataSlip_9
112,1,NORMAL,DataSlip_20
127,3,NORMAL,DataSlip_10
131,2,MOVE,DataSlip_13
132,2,MOVE,DataSlip_13
135,2,NORMAL,DataSlip_13
142,2,NORMAL,DataSlip_13
143,1,MOVE,DataSlip_7
144,2,NORMAL,DataSlip_13
145,3,MOVE,DataSlip_16
145,1,NORMAL,DataSlip_7
145,2,ROTATE,DataSlip_13
148,3,NORMAL,DataSlip_16
154,2,MOVE,DataSlip_13
156,2,MOVE,DataSlip_11
157,2,MOVE,DataSlip_11
159,2,MOVE,DataSlip_11
159,2,MOVE,DataSlip_11
162,2,MOVE,DataSlip_11
162,3,ENLARGE,DataSlip_16
163,2,NORMAL,DataSlip_11
167,2,NORMAL,DataSlip_11
168,2,ROTATE,DataSlip_11
170,2,SHRINK,DataSlip_11
172,2,MOVE,DataSlip_11
173,2,NORMAL,DataSlip_11
175,2,NORMAL,DataSlip_11
177,2,ROTATE,DataSlip_11
179,2,MOVE,DataSlip_11
191,3,NORMAL,DataSlip_16
195,3,SHRINK,DataSlip_16
195,3,NORMAL,DataSlip_16
199,3,NORMAL,DataSlip_16
203,3,MOVE,DataSlip_16
204,2,MOVE,DataSlip_5
206,2,MOVE,DataSlip_5
209,2,NORMAL,DataSlip_5
210,2,NORMAL,DataSlip_5
211,2,ROTATE,DataSlip_5
216,3,NORMAL,DataSlip_17
220,1,MOVE,DataSlip_6
221,1,NORMAL,DataSlip_6
231,2,MOVE,DataSlip_1
232,2,MOVE,DataSlip_1
234,2,NORMAL,DataSlip_1
237,2,NORMAL,DataSlip_1
238,2,NORMAL,DataSlip_1
238,2,ROTATE,DataSlip_1
239,3,NORMAL,DataSlip_4
240,2,NORMAL,DataSlip_1
242,2,ROTATE,DataSlip_1
243,2,MOVE,DataSlip_1
271,2,MOVE,DataSlip_2
271,2,MOVE,DataSlip_2
272,2,MOVE,DataSlip_2
274,2,NORMAL,DataSlip_2
275,2,NORMAL,DataSlip_2
277,2,ROTATE,DataSlip_2
279,3,NORMAL,DataSlip_18
279,2,NORMAL,DataSlip_2
282,2,ROTATE,DataSlip_2
283,3,MOVE,DataSlip_4
322,3,SHRINK,DataSlip_18
323,3,ENLARGE,DataSlip_18
324,2,MOVE,DataSlip_2
325,3,MOVE,DataSlip_18
328,2,MOVE,DataSlip_2
328,3,MOVE,DataSlip_18
330,2,NORMAL,DataSlip_2
332,2,ROTATE,DataSlip_2
333,3,MOVE,DataSlip_18
336,2,NORMAL,DataSlip_2
338,2,ROTATE,DataSlip_2
338,3,MOVE,DataSlip_18
341,3,SHRINK,DataSlip_18
342,3,ENLARGE,DataSlip_18
344,3,SHRINK,DataSlip_18
346,3,MOVE,DataSlip_18
